AppThreads,CFPMB-min,CFPMB-avg,CFPMB-max
1,1106.5,1123.34,1139.0
2,1404.9,1464.58,1489.9
4,2620.3,2633.4,2638.6
8,4790.3,4803.10,4824.1
16,9584.4,9600.4,9607.1
