"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"nohz_balance_exit_idle","0.00701687","0","","0.285714","vmlinux","nohz_balance_exit_idle","[Unknown]","0xffffffff810c19a0"
"__put_compound_page","0.00701687","0","","0.428571","vmlinux","__put_compound_page","[Unknown]","0xffffffff811cfc40"
"sb_event_stop","0.00701687","2600000","3","0.428571","sysbench","sb_event_stop","[Unknown]","0x40bcd0"
"find_vma","0.00701687","0","0","0","vmlinux","find_vma","[Unknown]","0xffffffff812004f0"
"PageHuge","0.00701687","0","","1","vmlinux","PageHuge","[Unknown]","0xffffffff8121cec0"
"__x64_sys_recvfrom","0.00701687","5200000","4","1.14286","vmlinux","__x64_sys_recvfrom","[Unknown]","0xffffffff817af0c0"
"__GI___clock_gettime","0.00701687","0","","1.14286","libc-2.23.so","__GI___clock_gettime","clock_gettime.c","0x115850"
"func@0x43d2c0","0.00701687","7800000","1.33333","0.571429","sysbench","func@0x43d2c0","[Unknown]","0x43d2c0"
"func@0x468b90","0.00701687","18200000","0.714286","0.714286","sysbench","func@0x468b90","[Unknown]","0x468b90"
"func@0x4083a0","0.00601446","0","","0.333333","sysbench","func@0x4083a0","[Unknown]","0x4083a0"
"__bitmap_and","0.00601446","0","","0.5","vmlinux","__bitmap_and","[Unknown]","0xffffffff81455080"
"clear_buddies","0.00601446","5200000","1","0.333333","vmlinux","clear_buddies","[Unknown]","0xffffffff810b5ef0"
"change_protection","0.00601446","2600000","4","0.666667","vmlinux","change_protection","[Unknown]","0xffffffff81205430"
"func@0x22858","0.00601446","0","","0.5","libmysqlclient.so.20.3.10","func@0x22858","[Unknown]","0x22858"
"maybe_add_creds","0.00601446","2600000","3","0.5","vmlinux","maybe_add_creds","[Unknown]","0xffffffff81886390"
"__task_rq_lock","0.00601446","5200000","4.5","1.5","vmlinux","__task_rq_lock","[Unknown]","0xffffffff810adb10"
"func@0x2cf80","0.00601446","10400000","0.75","0.5","libmysqlclient.so.20.3.10","func@0x2cf80","[Unknown]","0x2cf80"
"sched_clock_cpu","0.00601446","0","","0.5","vmlinux","sched_clock_cpu","[Unknown]","0xffffffff810b4300"
"getnstimeofday64","0.00601446","15600000","1.5","1.5","vmlinux","getnstimeofday64","[Unknown]","0xffffffff81102640"
"skb_release_all","0.00601446","0","","0.166667","vmlinux","skb_release_all","[Unknown]","0xffffffff817b8d90"
"down_read_trylock","0.00601446","2600000","3","0.5","vmlinux","down_read_trylock","[Unknown]","0xffffffff810d3d20"
"native_read_msr","0.00601446","0","","0.833333","vmlinux","native_read_msr","[Unknown]","0xffffffff81063770"
"mysql_real_query","0.00601446","0","","0.166667","libmysqlclient.so.20.3.10","mysql_real_query","[Unknown]","0x2f450"
"func@0x43c570","0.00501205","0","","0.4","sysbench","func@0x43c570","[Unknown]","0x43c570"
"mysql_errno","0.00501205","0","","1","libmysqlclient.so.20.3.10","mysql_errno","[Unknown]","0x32620"
"func@0x421460","0.00501205","0","","0.4","sysbench","func@0x421460","[Unknown]","0x421460"
"func@0x427710","0.00501205","5200000","1","0.4","sysbench","func@0x427710","[Unknown]","0x427710"
"sb_more_events","0.00501205","2600000","1","0.2","sysbench","sb_more_events","[Unknown]","0x40ba50"
"free_unref_page","0.00501205","0","","0.2","vmlinux","free_unref_page","[Unknown]","0xffffffff811c5820"
"func@0x427e2c","0.00501205","5200000","0.5","0.2","sysbench","func@0x427e2c","[Unknown]","0x427e2c"
"func@0x4085d0","0.00501205","0","","1","sysbench","func@0x4085d0","[Unknown]","0x4085d0"
"func@0x441d00","0.00501205","10400000","0","0","sysbench","func@0x441d00","[Unknown]","0x441d00"
"func@0x45ad40","0.00501205","0","0","0","sysbench","func@0x45ad40","[Unknown]","0x45ad40"
"skb_unlink","0.00501205","2600000","5","1","vmlinux","skb_unlink","[Unknown]","0xffffffff817b5380"
"handle_mm_fault","0.00501205","7800000","0.333333","0.2","vmlinux","handle_mm_fault","[Unknown]","0xffffffff811fb450"
"cpumask_next_and","0.00501205","10400000","0.25","0.2","vmlinux","cpumask_next_and","[Unknown]","0xffffffff818eae80"
"func@0x437a6b","0.00501205","2600000","0","0","sysbench","func@0x437a6b","[Unknown]","0x437a6b"
"func@0xe210","0.00501205","20800000","0.25","0.4","libgcc_s.so.1","func@0xe210","[Unknown]","0xe210"
"func@0x437267","0.00501205","2600000","1","0.2","sysbench","func@0x437267","[Unknown]","0x437267"
"should_failslab","0.00501205","2600000","1","0.2","vmlinux","should_failslab","[Unknown]","0xffffffff811e9dd0"
"func@0x457400","0.00501205","5200000","4","1.6","sysbench","func@0x457400","[Unknown]","0x457400"
"func@0x43c59b","0.00501205","5200000","0","0","sysbench","func@0x43c59b","[Unknown]","0x43c59b"
"unix_scm_to_skb","0.00400964","5200000","1","0.5","vmlinux","unix_scm_to_skb","[Unknown]","0xffffffff81886610"
"__accumulate_pelt_segments","0.00400964","0","","0.5","vmlinux","__accumulate_pelt_segments","[Unknown]","0xffffffff810b57b0"
"func@0x43beb0","0.00400964","2600000","2","0.5","sysbench","func@0x43beb0","[Unknown]","0x43beb0"
"func@0x445290","0.00400964","2600000","1","0.25","sysbench","func@0x445290","[Unknown]","0x445290"
"free_unref_page_prepare.part.65","0.00400964","0","","1.25","vmlinux","free_unref_page_prepare.part.65","[Unknown]","0xffffffff811c38b0"
"__cmpxchg_double_slab.isra.56","0.00400964","0","","0.5","vmlinux","__cmpxchg_double_slab.isra.56","[Unknown]","0xffffffff8122d9c0"
"func@0x44d480","0.00400964","5200000","0","0","sysbench","func@0x44d480","[Unknown]","0x44d480"
"func@0x408200","0.00400964","5200000","0.5","0.25","sysbench","func@0x408200","[Unknown]","0x408200"
"skb_free_head","0.00400964","0","","0.25","vmlinux","skb_free_head","[Unknown]","0xffffffff817b5bc0"
"mysql_affected_rows","0.00400964","0","","0.5","libmysqlclient.so.20.3.10","mysql_affected_rows","[Unknown]","0x26330"
"func@0x432aa0","0.00400964","15600000","0.666667","1","sysbench","func@0x432aa0","[Unknown]","0x432aa0"
"func@0x4335b0","0.00400964","2600000","1","0.25","sysbench","func@0x4335b0","[Unknown]","0x4335b0"
"get_page_from_freelist","0.00400964","7800000","0.333333","0.25","vmlinux","get_page_from_freelist","[Unknown]","0xffffffff811c6060"
"trigger_load_balance","0.00400964","0","","0.75","vmlinux","trigger_load_balance","[Unknown]","0xffffffff810c1b50"
"mysql_send_query","0.00400964","0","","0.5","libmysqlclient.so.20.3.10","mysql_send_query","[Unknown]","0x2f390"
"hrtick_update","0.00400964","0","","0.5","vmlinux","hrtick_update","[Unknown]","0xffffffff810b6a00"
"func@0x4379ca","0.00400964","2600000","1","0.25","sysbench","func@0x4379ca","[Unknown]","0x4379ca"
"__page_cache_release","0.00400964","2600000","2","0.5","vmlinux","__page_cache_release","[Unknown]","0xffffffff811cfa20"
"task_tick_fair","0.00400964","0","","0.5","vmlinux","task_tick_fair","[Unknown]","0xffffffff810be3b0"
"page_vma_mapped_walk","0.00400964","0","0","0","vmlinux","page_vma_mapped_walk","[Unknown]","0xffffffff812082f0"
"task_numa_fault","0.00400964","0","","0.5","vmlinux","task_numa_fault","[Unknown]","0xffffffff810bd600"
"kfree_skbmem","0.00400964","2600000","1","0.25","vmlinux","kfree_skbmem","[Unknown]","0xffffffff817b56c0"
"get_vma_policy.part.32","0.00400964","0","0","0","vmlinux","get_vma_policy.part.32","[Unknown]","0xffffffff81222d10"
"unix_stream_read_actor","0.00400964","5200000","2","1","vmlinux","unix_stream_read_actor","[Unknown]","0xffffffff81885a80"
"update_cfs_rq_h_load","0.00400964","2600000","4","1","vmlinux","update_cfs_rq_h_load","[Unknown]","0xffffffff810b5420"
"func@0x434fc0","0.00400964","2600000","0","0","sysbench","func@0x434fc0","[Unknown]","0x434fc0"
"func@0x4689c0","0.00400964","2600000","2","0.5","sysbench","func@0x4689c0","[Unknown]","0x4689c0"
"func@0x453ac0","0.00400964","10400000","0","0","sysbench","func@0x453ac0","[Unknown]","0x453ac0"
"mem_cgroup_uncharge","0.00400964","5200000","2","1","vmlinux","mem_cgroup_uncharge","[Unknown]","0xffffffff812498f0"
"func@0x4361a9","0.00400964","2600000","3","0.75","sysbench","func@0x4361a9","[Unknown]","0x4361a9"
"func@0x439562","0.00300723","0","","1","sysbench","func@0x439562","[Unknown]","0x439562"
"func@0x435460","0.00300723","5200000","0","0","sysbench","func@0x435460","[Unknown]","0x435460"
"func@0x10df0","0.00300723","2600000","0","0","libgcc_s.so.1","func@0x10df0","[Unknown]","0x10df0"
"func@0x436180","0.00300723","0","","1.33333","sysbench","func@0x436180","[Unknown]","0x436180"
"func@0x44f260","0.00300723","0","0","0","sysbench","func@0x44f260","[Unknown]","0x44f260"
"func@0x4288f0","0.00300723","0","0","0","sysbench","func@0x4288f0","[Unknown]","0x4288f0"
"unmap_page_range","0.00300723","2600000","0","0","vmlinux","unmap_page_range","[Unknown]","0xffffffff811f7d10"
"func@0x40f270","0.00300723","2600000","2","0.666667","sysbench","func@0x40f270","[Unknown]","0x40f270"
"smp_call_function_single","0.00300723","2600000","4","1.33333","vmlinux","smp_call_function_single","[Unknown]","0xffffffff81115710"
"run_timer_softirq","0.00300723","2600000","1","0.333333","vmlinux","run_timer_softirq","[Unknown]","0xffffffff810fd5f0"
"func@0x446280","0.00300723","0","","0.333333","sysbench","func@0x446280","[Unknown]","0x446280"
"rcu_note_context_switch","0.00300723","2600000","5","1.66667","vmlinux","rcu_note_context_switch","[Unknown]","0xffffffff810f4ff0"
"__floor_sse41","0.00300723","0","","0.333333","libm-2.23.so","__floor_sse41","s_floor.S","0x17ba0"
"func@0xf950","0.00300723","5200000","0","0","libgcc_s.so.1","func@0xf950","[Unknown]","0xf950"
"func@0x45b810","0.00300723","5200000","1","0.666667","sysbench","func@0x45b810","[Unknown]","0x45b810"
"can_migrate_task","0.00300723","0","","0.666667","vmlinux","can_migrate_task","[Unknown]","0xffffffff810b61e0"
"free_compound_page","0.00300723","0","","0.666667","vmlinux","free_compound_page","[Unknown]","0xffffffff811c4550"
