Configuration,MEMFRAC,CPU-POWER,DRAM-POWER
isolated,1,32.9158,7.01384
sharing,1,33.1189,7.12751
isolated,2,32.9599,7.06051
sharing,2,33.1698,7.12401
isolated,3,33.0321,7.09676
sharing,3,33.0822,7.06005
isolated,4,32.9549,7.00485
sharing,4,33.0744,7.09099
