Configuration,Batch Size,CPU-POWER,DRAM-POWER
isolated,10,32.8421,7.12533
sharing,10,43.5867,7.88979
sharing-prio,10,44.102,7.94393
isolated,20,32.8955,7.09355
sharing,20,43.7686,7.8941
sharing-prio,20,44.2313,7.95768
isolated,40,33.1054,7.16717
sharing,40,43.8692,7.9381
sharing-prio,40,44.07,7.9421
