# reader VanillaRA VanillaOPT OSonly CrossInfo CII
1 .539 .535 .539 0 0
4 .539 .535 .539 .001 .001
8 .539 .535 .539 .001 .002
16 .539 .535 .539 0 .003
32 .539 .535 .540 .001 .004
