# reader Vanilla OSonly Cross_Info CII
1 198161 284474 313318 310504
4 495309 595417 604736 594455
8 821237 1088113 1106119 1106048
16 1426248 2134771 2143009 2146983
32 2300812 4026224 4049486 4068969
