# reader VanillaRA VanillaOPT OSonly CrossInfo CII
1 1978.98 1884.08 1964.00 3407.74 3407.18
4 2855.06 2821.44 2851.53 3521.70 3401.23
8 2856.99 2871.57 2852.27 4651.13 3888.06
16 3000.84 3025.45 3016.32 6487.10 4248.35
32 3014.08 3013.96 3014.51 5677.09 3957.99
