# reader VanillaRA VanillaOPT OSonly CrossInfo CII
1 1 10240 0 102402 6403
4 4 10240 0 102269 6463
8 8 10240 0 38352 6608
16 16 10240 0 12941 1936
32 32 10240 0 49610 6599
