NPROC,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
4,296.37,302.51,319.90,339.52,345.63,352.82
8,264.95,294.09,320.22,341.61,349.86,354.11
16,273.73,295.05,324.08,330.18,339.52,358.66
32,239.85,251.30,260.27,264.45,290.38,305.34
