RASIZE,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
32,46.23,53.42,63.89,46.41,55.09,63.32
64,46.17,52.71,63.94,46.44,50.98,63.52
128,46.09,49.45,63.8,46.55,51.53,63.95
256,45.43,51.79,62.56,45.88,52.35,63.25
512,46.07,51.27,56.61,46.17,50.86,62.35
1024,45.5,48.06,62.52,45.73,51.38,62.92
2048,45.71,49.87,58.81,45.92,49.91,63.02
268435455,112.81,140.01,171.01,83.46,105.56,132.26
