RASIZE,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
32,1906.34,2314.56,2637.60,1923.76,2251.79,2629.12
64,1905.71,2359.35,2641.47,1919.05,2419.51,2626.94
128,1912.12,2495.93,2644.53,1905.99,2406.80,2624.20
256,1950.26,2383.13,2682.61,1925.85,2356.97,2656.04
512,2157.68,2392.42,2645.12,1954.50,2435.31,2660.69
1024,1949.20,2562.07,2681.31,1936.70,2419.00,2670.01
2048,2072.78,2468.96,2666.65,1932.69,2469.26,2654.02
268435455,711.73,888.41,1079.60,920.47,1180.81,1460.23
