RASIZE,pred-min,pred,pred-max,nopred-min,nopred,nopred-max
32,1915.96,2490.86,2633.27,2042.79,2483.75,2695.02
64,2049.41,2301.90,2534.12,2174.07,2382.22,2656.34
128,2232.88,2353.90,2536.32,1963.95,2281.53,2552.37
256,2062.98,2387.75,2577.81,2162.35,2402.58,2663.30
512,2261.27,2442.97,2608.28,1972.21,2346.37,2703.88
1024,2303.85,2486.81,2606.54,1972.17,2309.57,2646.85
2048,2076.96,2385.20,2571.07,1984.36,2231.47,2395.77
268435455,660.30,903.71,1034.26,663.70,1008.00,1172.68
