AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,1375.2,1411.16,1435.9
2,1604.1,1648.96,1670.7
4,2785.1,2837.18,2876.4
8,5141.2,5187.42,5235.8
16,10089.5,10180.00,10298.9
