AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,274.4,371.50,427.4
2,61.1,122.74,182.7
4,102.0,135.72,188.4
8,187.1,269.04,367.5
16,953.9,1034.90,1257.7
