AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,1331.6,1351.24,1372.9
2,1602.4,1615.4,1624.2
4,2713.4,2747.32,2771.7
8,4988.7,5004.52,5029.2
16,9890.1,9899.3,9908.1
