AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,1289.2,1340.3,1355.9
2,1506.6,1597.16,1634.9
4,2727.8,2752.36,2770.6
8,4984.6,5012.66,5029.6
16,9737.7,9815.14,9863.9
