MemoryBudget,CFPMB-min,CFPMB-avg,CFPMB-max
0.2,3308.74,3310.48,3314.30
0.5,3330.31,3332.55,3333.52
0.7,3344.67,3346.06,3346.88
1,3360.43,3361.14,3361.50
2,3360.62,3361.01,3361.44
