RASIZE,nopred-min,nopred,nopred-max
32,9121.4,9177.87,9231.1
128,9122.2,9204.65,9239.7
256,9096.2,9192.98,9244.0
512,9133.9,9192.43,9218.9
2048,9179.4,9211.79,9250.4
4096,9180.3,9209.93,9254.8
8192,9127.9,9199.31,9255.8
16384,9177.8,9221.03,9287.5
32768,9117.7,9196.77,9246.7
65536,9190.6,9229.56,9272.2
131072,9119.1,9219.46,9261.8
268435455,9191.8,9233.71,9255.2
