MemBudget,CBNBB-min,CBNBB-avg,CBNBB-max
0.2,2725.1,3096.90,3376.8
0.5,6474.1,6563.98,6671.1
0.7,7606.8,7714.86,7903.6
1,10066.6,10168.58,10291.1
2,10070.9,10159.34,10252.6
