MemBudget,CBPMB-min,CBPMB-avg,CBPMB-max
0.2,3763.2,5242.12,6244.5
0.5,9531.8,9677.86,9763.6
0.7,9587.9,9605.58,9741.4
1,9621.4,9765.80,9897.6
2,9700.2,9817.72,9878.6
