reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1169	2199	1872	2003	2014
rrev	293	293	1593	1837	1878
rscan	4510	4683	4857	4741	4987
multirrand	11480	12051	12587	12281	12715
rrand	12555	13109	14235	14537	14390
