reader	Vanilla	OSonly	CIP	CIPI	CII
1	345	696	1344	1403	1419
4	2775	3827	4726	4854	4881
8	5951	6661	7145	7186	7124
16	10943	11819	12629	12886	12921
32	27169	26850	29445	28472	30022
