reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1259	2395	1999	2005	2027
rrev	292	294	1608	1847	1887
rscan	4251	4689	4797	4807	4978
multirrand	11110	12053	12755	12621	12775
rrand	12405	13066	14144	13992	14387
