AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,174.8,174.98,175.2
2,415.2,418.90,426.2
4,985.9,991.10,1006.4
8,2186.0,2195.04,2198.8
16,4632.4,4643.28,4655.1
