AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,768.4,779.04,788.0
2,967.0,993.28,1016.5
4,1582.0,1593.54,1607.2
8,2860.9,2869.96,2886.4
16,5292.0,5337.96,5366.4
