AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,595.4,598.06,600.5
2,845.6,860.3,873.1
4,1433.9,1438.26,1445.2
8,2603.9,2618.54,2638.8
16,4934.1,4949.00,4972.7
