MemoryBudget,CBNBB-min,CBNBB-avg,CBNBB-max
0.2,3371.23,3372.25,3372.72
0.5,3392.80,3393.44,3394.04
0.7,3401.77,3402.15,3402.43
1,3405.60,3405.95,3406.37
2,3405.67,3406.07,3406.34
