Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   18617    35370    42175    34.5%           21      18719
   70546        0    55291   100.0%           21      17588
   70365     1634    57492    97.7%           21      17825
   65629     3615    55386    94.8%           21      18074
   49101    18241    50505    72.9%           21      17653
  160996    46512    73455    77.6%           21      17756
  396591    61958    99984    86.5%           22      18105
  467287    34116   102465    93.2%           22      18491
  253227    14718    70212    94.5%           22      18390
   85558     1986    54945    97.7%           22      18628
   84557     1999    54135    97.7%           22      18693
   79864     1770    58387    97.8%           22      18681
   74301     1284    53197    98.3%           22      18735
  197107    44989    93063    81.4%           22      18079
  109213    41138    69647    72.6%           22      18211
   63572     5029    53046    92.7%           22      18199
   69919     1812    62768    97.5%           22      18406
   32249    28286    49092    53.3%           22      18724
  331379    52010   102778    86.4%           22      18719
  210125    37677    71232    84.8%           23      18566
  525982    68638   111630    88.5%           23      18683
  189824    41666    59165    82.0%           23      18570
  344531    19232    78792    94.7%           23      18721
   80977     1883    48889    97.7%           23      18712
   84376     1891    51974    97.8%           23      18701
   75025     1469    54299    98.1%           23      18735
   74093     1228    50936    98.4%           23      18747
  220401    33456    94335    86.8%           23      18074
   34158    28953    48451    54.1%           23      18065
   43718    27482    53843    61.4%           23      18393
   65354     3935    54575    94.3%           23      18394
   69216     1887    55704    97.3%           23      18620
  138443    11682    70985    92.2%           23      18466
  103722     8621    59360    92.3%           24      18345
  530371    77856   116865    87.2%           24      18691
  212828    56605    67570    79.0%           24      18730
   32184    42304    43105    43.2%           24      18721
   48910    42521    44916    53.5%           24      18638
  550583    47310   102302    92.1%           24      18348
   92180        0    57877   100.0%           24      18541
   83312     2040    51561    97.6%           24      18708
   83628     2082    52020    97.6%           24      18699
   71371     1408    53837    98.1%           24      18753
  200619    47496    86576    80.9%           24      18061
   44728    26288    51510    63.0%           24      18384
   50849    13922    49832    78.5%           24      18327
   58750     1547    52567    97.4%           24      18224
   51102    16374    53459    75.7%           24      18452
   73294     1694    59097    97.7%           25      18313
  105486    26341    60899    80.0%           25      18388
  344310    72048    99793    82.7%           25      18719
   30901    40262    44645    43.4%           25      18718
  498679    59780   105058    89.3%           25      18604
  373902    50335    81227    88.1%           25      18688
   83996     2072    54459    97.6%           25      18738
   83146     2156    53188    97.5%           25      18728
   81879     2124    52374    97.5%           25      18717
   87682     2288    57422    97.5%           25      18709
  197353    34098    90090    85.3%           25      17932
  106868    20674    64662    83.8%           25      18212
   68446     2007    60189    97.2%           25      18221
   65969     1369    55351    98.0%           25      18394
   51253     9952    48591    83.7%           26      18036
   24690    38721    49137    38.9%           26      18404
   33556    29653    48603    53.1%           26      18737
  211567    22737    78478    90.3%           26      18600
   68771     2016    51967    97.2%           25      18710
   53848    16162    57987    76.9%           25      18355
   26036    46740    51415    35.8%           25      18751
   23097    43546    45349    34.7%           25      18755
  305996    47668    80847    86.5%           25      18458
   47935    42533    47651    53.0%           25      18724
   30656    39761    43865    43.5%           25      18713
  300217    69904    76765    81.1%           25      18679
  636307    43131   112559    93.7%           25      18656
   83539     2493    51849    97.1%           25      18723
   86718      257    53673    99.7%           25      18711
   80616     3351    50730    96.0%           25      18699
   70824     2130    54837    97.1%           25      18754
  165553    33244    73654    83.3%           25      18081
   57233    12582    54464    82.0%           26      18355
   49637    12911    46972    79.4%           26      18216
   68114     2259    55163    96.8%           26      18457
  102994    16028    65261    86.5%           26      18325
   76976    30988    55558    71.3%           26      18285
   95107    16362    63952    85.3%           26      18569
  288417    44413    88255    86.7%           26      18624
  101902    46064    53665    68.9%           26      18737
   29337    43756    44611    40.1%           26      18729
   28985    43122    44901    40.2%           26      18719
   23687    38311    41980    38.2%           26      17933
   23247    47064    45755    33.1%           26      18324
   24532    48987    48125    33.4%           26      18730
   25610    44778    46128    36.4%           26      18742
  113436    57725    52690    66.3%           26      18077
  392253    62318    90346    86.3%           26      18380
  129494    21391    57051    85.8%           26      18660
   63310    15094    46258    80.7%           26      18715
   77187     3065    48738    96.2%           26      18705
   75140     2762    58023    96.5%           26      18754
   70145     2665    50846    96.3%           26      18752
  290807    59512   120750    83.0%           27      17950
   65886     1870    53531    97.2%           27      17852
   71337     2053    57525    97.2%           27      18087
   72387        0    63205   100.0%           27      18281
   64073     1331    53171    98.0%           27      18509
   65968     1310    55435    98.1%           27      18732
   62165     1325    51576    97.9%           27      18722
   61292     1555    51057    97.5%           27      18714
   38090    17019    41821    69.1%           27      17340
   68113     2276    55232    96.8%           27      17386
   55001    13984    51838    79.7%           27      17659
  118474    31461    64423    79.0%           27      17594
  158784    36752    71616    81.2%           27      17758
  284041    62137    85624    82.1%           27      18004
  143326    51833    61716    73.4%           27      18374
   33462    45608    48234    42.3%           27      18724
   30512    42163    42236    42.0%           27      18712
  554204    57821   101410    90.6%           27      18353
   82112     2211    52414    97.4%           27      18580
   82223     2143    52015    97.5%           27      18707
   76072     2760    47002    96.5%           27      18694
   67387     2767    51674    96.1%           28      18737
   88430    10372    52376    89.5%           28      18357
  248228    40717   113923    85.9%           28      18242
   48921    15469    48477    76.0%           28      18121
   38506    24437    47736    61.2%           28      18424
   26229    35779    52376    42.3%           28      18643
   28055    27430    43296    50.6%           28      18306
   57169     9000    50955    86.4%           28      18391
