Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
  216166   159001        0    57.6%           10      19686
  215245   158412        0    57.6%           10      19687
  223152   155679     3036    58.9%           10      19687
  214278   158671        0    57.5%           10      19688
  213478   156537       97    57.7%           10      19687
  215362   159379        0    57.5%           10      19687
  212810   157425        0    57.5%           10      19687
  213333   157364        2    57.5%           10      19688
  213990   157569       39    57.6%           10      19688
  214210   157527        0    57.6%           10      19688
  214904   158542        0    57.5%           10      19687
  221591   155270     3031    58.8%           10      19686
  214550   157247        0    57.7%           10      19688
  212655   157836        0    57.4%           10      19687
  212648   156158        0    57.7%           10      19687
  213908   157512        0    57.6%           10      19688
  215050   159205        0    57.5%           10      19687
  214989   159344        0    57.4%           10      19688
  214621   158061        2    57.6%           10      19687
  214872   159030        0    57.5%           10      19687
  215224   158624        0    57.6%           10      19687
  221531   152140     5256    59.3%           10      19688
  215370   158401        0    57.6%           10      19688
  214600   157528        0    57.7%           10      19687
  209292   154284        0    57.6%           10      19687
  212336   157457        0    57.4%           10      19687
  211676   157021        0    57.4%           10      19688
  213829   157286       32    57.6%           10      19687
  214546   157729        0    57.6%           10      19688
  214271   158087        0    57.5%           10      19687
  220996   155303     3031    58.7%           10      19687
  214531   158359        0    57.5%           10      19688
  213927   158498       87    57.4%           10      19688
  214238   158118        0    57.5%           10      19688
  211242   156027        0    57.5%           10      19689
  215273   158388        0    57.6%           10      19687
  213743   158093       31    57.5%           10      19687
  215168   158628        0    57.6%           10      19687
  212792   158226        0    57.4%           10      19688
  218248   152719     3032    58.8%           10      19687
  212188   157140        0    57.5%           10      19688
  212943   157701        0    57.5%           10      19688
  215379   158608        0    57.6%           10      19689
  215309   158899        0    57.5%           10      19689
  213805   159029        0    57.3%           10      19688
  216675   159007       32    57.7%           10      19688
  215083   158045        0    57.6%           10      19688
  216396   158832        0    57.7%           10      19689
  219992   154854     3032    58.7%           10      19687
  211265   156220        0    57.5%           10      19688
  212462   158396        0    57.3%           10      19688
  214570   158515        0    57.5%           10      19687
  214814   158126        0    57.6%           10      19689
  214073   159092        0    57.4%           10      19688
  212736   157516       30    57.5%           10      19688
  214002   157772        0    57.6%           10      19688
  213239   157414        0    57.5%           10      19688
  213779   157262        0    57.6%           10      19688
  213824   158491        0    57.4%           10      19688
  210108   155618        0    57.4%           10      19688
  212995   157246        0    57.5%           10      19687
  213761   157853        0    57.5%           10      19688
  213944   158456        0    57.5%           10      19687
  214310   157572        0    57.6%           10      19688
  213767   158017       32    57.5%           10      19688
  214445   157573        0    57.6%           10      19688
  213042   157121        0    57.6%           10      19689
  218868   153938     3032    58.7%           10      19687
  214227   158398        0    57.5%           10      19689
  212623   156306       87    57.6%           10      19688
  214072   157507        0    57.6%           10      19688
  213887   157418        0    57.6%           10      19688
  214307   158510        0    57.5%           10      19688
  214388   158071       33    57.6%           10      19689
  214919   158257        0    57.6%           10      19689
  213821   157897        0    57.5%           10      19689
  221554   155315     3031    58.8%           10      19688
  214760   158333        0    57.6%           10      19688
  213733   157182       87    57.6%           10      19690
  212175   156206        0    57.6%           10      19688
  214491   158688        0    57.5%           10      19688
  214874   158182        0    57.6%           10      19688
  214923   158536       33    57.5%           10      19688
  213640   158178        0    57.5%           10      19690
  213625   158201        0    57.5%           10      19688
  220574   152245     5254    59.2%           10      19688
  211704   156266        0    57.5%           10      19687
  213403   158359        0    57.4%           10      19688
  212426   156837        0    57.5%           10      19688
  210406   155225        0    57.5%           10      19689
  215329   158069        0    57.7%           10      19688
  215075   158270       32    57.6%           10      19689
  212289   157604        0    57.4%           10      19688
  212833   157409        0    57.5%           10      19688
  220690   154848     3029    58.8%           10      19689
  212689   156643        0    57.6%           10      19688
  211806   156974       87    57.4%           10      19688
  213707   157435        0    57.6%           10      19688
  212311   156582        0    57.6%           10      19688
  210064   155759        0    57.4%           10      19689
  212488   157564        0    57.4%           10      19690
  213135   158233       32    57.4%           10      19689
  214691   158194        0    57.6%           10      19690
  214823   157341        0    57.7%           10      19689
  223130   156184     3029    58.8%           10      19689
  216259   159228        0    57.6%           10      19689
  215258   158297        0    57.6%           10      19688
  212330   156268        0    57.6%           10      19689
  213628   157764        0    57.5%           10      19688
  211494   157349        0    57.3%           10      19688
  213493   157212       34    57.6%           10      19689
  213594   157863        0    57.5%           10      19688
  213962   157625        0    57.6%           10      19688
  220179   154367     3028    58.8%           10      19689
  211433   156391        0    57.5%           10      19690
  214315   157732        0    57.6%           10      19690
  214775   158447        0    57.5%           10      19688
  215081   158097        0    57.6%           10      19689
  213490   157646        0    57.5%           10      19689
  215172   158185       32    57.6%           10      19690
  213818   158599        0    57.4%           10      19688
  213976   158315        0    57.5%           10      19688
  221392   155077     3029    58.8%           10      19689
  213948   157463        0    57.6%           10      19690
  212916   156277        0    57.7%           10      19689
  212511   157626        0    57.4%           10      19689
