Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 2319160    71195    37510    97.0%           17      19159
 2309711    69073    33693    97.1%           17      19157
 2255944    66174    33238    97.2%           17      19156
 2335851    67903    34429    97.2%           17      19161
 2306596    66807    32636    97.2%           17      19159
 2295608    66834    32423    97.2%           17      19157
 2310057    66272    31642    97.2%           17      19154
 2276634    84508    37128    96.4%           17      18905
 2316384    91826    37795    96.2%           17      19160
 2309958    89540    33265    96.3%           17      19159
 2305410    90131    33141    96.2%           17      19158
 2222917    88683    34310    96.2%           17      19156
 2244510    90756    35189    96.1%           17      19155
 2210046    91346    34675    96.0%           17      19154
 2164378    91338    35965    96.0%           17      19152
 2226495    91103    33171    96.1%           17      19151
 2176868    91270    33139    96.0%           17      19151
 2174447    91555    34982    96.0%           17      19146
 2237110    96372    35001    95.9%           18      18092
 2138492    88932    41312    96.0%           18      18636
 2234234    59722    45763    97.4%           18      19091
 2182080    62229    40278    97.2%           18      19160
 1042968   109159    37104    90.5%           18      18836
 1065352   109343    37172    90.7%           18      19157
 1064360   105571    40699    91.0%           18      19157
 1084080   112436    39204    90.6%           18      19144
 1057780   116580    36286    90.1%           18      19158
 1041210   115940    33276    90.0%           18      19159
 1024278   115461    33150    89.9%           18      19158
 1071402   121723    34333    89.8%           18      19161
  988595   105949    38376    90.3%           18      19161
  963365   108888    31504    89.8%           18      18719
  973932   114398    34463    89.5%           18      19160
  958034   114108    26512    89.4%           18      19161
  969584   115235    29931    89.4%           18      19160
 1005550   118553    33332    89.5%           18      19160
 1002354   116402    29815    89.6%           18      19162
  964693   112012    30322    89.6%           18      19160
  993885   111432    34431    89.9%           18      19156
  992368   112320    30125    89.8%           18      19160
  984445   109747    32634    90.0%           18      19161
  982834   110905    33149    89.9%           18      19160
 1012785   114843    34008    89.8%           18      19159
 1011772   116677    34938    89.7%           18      19156
 1008322   114616    37218    89.8%           18      19152
  979779   115828    34056    89.4%           18      19156
  998701   121718    33165    89.1%           18      19164
  964775   116669    33780    89.2%           18      19160
  944815   117562    33662    88.9%           18      19159
  928741   118259    32892    88.7%           18      19161
  884973   115094    29100    88.5%           18      19160
  900255   118573    32389    88.4%           18      19161
  908048   120196    34465    88.3%           18      19159
  904409   119437    34174    88.3%           18      19157
  901835   118137    36914    88.4%           18      19155
  925795   129656    32518    87.7%           18      19041
  859438   116408    33212    88.1%           18      19164
  843665   116084    33148    87.9%           18      19162
  858633   120136    34029    87.7%           18      19163
  863204   121642    33502    87.6%           18      19161
  886120   125135    26065    87.6%           18      18313
  906927   123869    37096    88.0%           18      18974
  928485   120697    35450    88.5%           18      19171
  894060   115231    38466    88.6%           18      19169
  902297   121157    33666    88.2%           18      19166
  877654   118856    33405    88.1%           18      19166
  876397   119919    33405    88.0%           18      19163
  879421   121917    33151    87.8%           18      19163
  845735   118203    32488    87.7%           18      19160
  861915   121114    33406    87.7%           18      19161
  811721   129644    30648    86.2%           18      18931
  808533   146023    38561    84.7%           18      19174
  791506   145587    36756    84.5%           18      19173
  731437   137428    36943    84.2%           18      19173
  736025   137086    29206    84.3%           18      18571
  826307   122898    33187    87.1%           18      18654
  862796   121392    35201    87.7%           18      19175
  863063   119874    33193    87.8%           18      19176
  845183   120028    33145    87.6%           18      19174
  836631   121779    33663    87.3%           18      19174
  824495   121117    33452    87.2%           18      19172
  777028   129765    28093    85.7%           19      18989
  804316   140850    40034    85.1%           19      19173
  787065   140942    35793    84.8%           19      19177
  733631   133670    34566    84.6%           18      19175
  785361   138063    29628    85.0%           19      18580
  788886   143358    38301    84.6%           19      18467
  818576   143842    41609    85.1%           19      19176
  783831   131788    34162    85.6%           19      19176
  791392   136847    32551    85.3%           19      18685
  821681   144752    40100    85.0%           19      19171
  745338   131511    33732    85.0%           19      19171
  756464   135077    37291    84.8%           19      19170
  759951   139120    35929    84.5%           19      19167
  826523   138345    38061    85.7%           19      19165
  837632   120931    34499    87.4%           19      19162
  870489   114908    38554    88.3%           19      19164
  876579   113172    41748    88.6%           19      19160
  750031   134490    35358    84.8%           19      19162
  759581   138982    36822    84.5%           19      19161
  766713   141185    37237    84.4%           19      19161
  718237   135521    38380    84.1%           19      19161
  718772   137845    35961    83.9%           19      19154
  737425   144678    37992    83.6%           19      19152
  730992   143078    37246    83.6%           19      19150
  685772   138024    34716    83.2%           19      19147
  714305   127695    33804    84.8%           19      19146
  744752   122060    33146    85.9%           19      19144
  791446   125652    33363    86.3%           19      19164
  789266   120865    29109    86.7%           20      17975
  792545   116471    36379    87.2%           20      18613
  870855   120070    39612    87.9%           20      19167
  897727   119279    39436    88.3%           20      19172
  889585   119816    33207    88.1%           19      19171
  880349   117208    33098    88.3%           19      19167
  874307   118867    34164    88.0%           19      19167
  879073   119048    33403    88.1%           19      19167
  871800   117830    33408    88.1%           19      19165
  880985   119221    33705    88.1%           20      19166
  860166   119228    32881    87.8%           20      19167
  855578   114239    35679    88.2%           20      19164
  845114   117968    33233    87.8%           20      19161
  848093   120684    33177    87.5%           20      19160
  837177   118353    32631    87.6%           20      19157
  811779   117740    29412    87.3%           20      18672
  753328   146975    33294    83.7%           20      18363
  796687   148699    40582    84.3%           20      19143
  777232   143346    35704    84.4%           20      19174
  759101   135258    26964    84.9%           20      19080
  778897   144275    36161    84.4%           20      19175
  754411   142141    41051    84.1%           20      19177
  726257   140586    32975    83.8%           20      18824
  747711   145965    37961    83.7%           20      19190
  708583   139851    34309    83.5%           20      19187
  769206   154320    38644    83.3%           20      19054
  715744   138688    33905    83.8%           20      19189
  730925   145481    35371    83.4%           21      18970
  723883   142403    37104    83.6%           21      19191
  749993   143044    33835    84.0%           21      19189
  736516   134025    35586    84.6%           21      18901
  783340   129630    35185    85.8%           21      19187
  743864   141500    34678    84.0%           21      19188
  704254   136729    33910    83.7%           21      19186
  745385   143394    33032    83.9%           21      18689
  761691   148646    39744    83.7%           21      19188
  732087   140526    34817    83.9%           21      19185
  754118   148132    38118    83.6%           22      19183
  765022   143172    35480    84.2%           21      19184
  751798   139838    36474    84.3%           22      19145
  803708   127431    41544    86.3%           22      19195
  772158   147568    36508    84.0%           22      19195
  723048   141028    34934    83.7%           22      19192
  695206   138851    34177    83.4%           22      18927
  736172   146008    38737    83.4%           22      19195
  737779   132475    38138    84.8%           22      19198
  718007   139004    35028    83.8%           22      19031
  746475   146433    38284    83.6%           22      19199
  693168   136095    33724    83.6%           22      19012
  747677   142383    40887    84.0%           22      19195
  791130   121062    33175    86.7%           22      19197
  756635   145247    38262    83.9%           22      19197
  749329   131521    38512    85.1%           22      19196
  762700   145053    37957    84.0%           23      19198
  744339   140881    35587    84.1%           23      19198
  761044   146488    38051    83.9%           23      19197
  744970   141879    36523    84.0%           23      19201
  784267   129058    33528    85.9%           23      18991
  760777   143503    38307    84.1%           23      19197
  770135   145042    41413    84.2%           23      19198
  727323   136631    35470    84.2%           23      19073
  737723   139990    37489    84.1%           23      19195
  765693   143349    36958    84.2%           23      19197
  716049   135963    35650    84.0%           23      19195
  748948   141085    36456    84.1%           23      19193
  765365   144676    37320    84.1%           23      19193
  726147   137185    35765    84.1%           23      19107
  765915   143654    37163    84.2%           23      19198
  770151   144480    40970    84.2%           23      19198
  749592   142205    36760    84.1%           23      19135
  773247   147170    38544    84.0%           23      19201
  741829   140212    36547    84.1%           23      19201
  768052   144686    37591    84.1%           23      19199
  749306   141886    36436    84.1%           23      19132
  768509   144951    37885    84.1%           23      19199
  748566   141791    37188    84.1%           23      19198
  742417   140167    36143    84.1%           23      19198
  773447   145641    37954    84.2%           23      19197
  755800   140483    39908    84.3%           23      19196
  791972   150223    39581    84.1%           24      19193
  712991   133407    34261    84.2%           24      19197
  763500   144241    38427    84.1%           24      19195
  777052   145447    37499    84.2%           24      19197
  741449   139200    35210    84.2%           24      18914
  767502   144993    39308    84.1%           24      19198
  777551   145818    37799    84.2%           24      19202
  755545   143421    37612    84.0%           24      19145
  781226   139135    43928    84.9%           24      19202
  731300   135944    35580    84.3%           24      19202
  777131   145613    38792    84.2%           24      19199
  793700   150559    40382    84.1%           24      19200
  733019   137914    36990    84.2%           24      19174
  732549   136249    35125    84.3%           24      19202
  769423   142712    36152    84.4%           24      19207
  740158   138870    36300    84.2%           24      19112
  785008   137560    28784    85.1%           24      19209
  913731   131475        0    87.4%           24      19210
  934887   130846     3038    87.7%           24      19210
  936579   130577        0    87.8%           24      19209
  947666   130911        0    87.9%           24      19212
  949010   129974        0    88.0%           24      19210
  959607   129975        0    88.1%           24      19210
  969112   130116        0    88.2%           24      19210
  967396   128908        0    88.2%           24      19211
  986796   129806       33    88.4%           24      19212
  989684   129403        0    88.4%           24      19213
 1010843   128240     3038    88.7%           24      19213
  987254   126930        0    88.6%           24      19213
 1002855   128254        0    88.7%           24      19215
 1007807   128544        0    88.7%           24      19215
 1004280   128045        0    88.7%           24      19216
 1001466   127583        0    88.7%           24      19214
 1007287   128223        0    88.7%           24      19214
  998929   126598        0    88.8%           24      19215
 1002701   127543       30    88.7%           24      19216
 1006440   127959        0    88.7%           24      19216
 1005581   127733     3037    88.7%           24      19217
 1007021   127808        0    88.7%           24      19217
 1000905   127060        0    88.7%           24      19216
 1009418   129150        0    88.7%           24      19216
  994352   126945        0    88.7%           24      19217
 1006518   128959        0    88.6%           24      19217
 1001783   127921        0    88.7%           24      19218
  997203   127984       33    88.6%           24      19218
  995326   128372        0    88.6%           24      19218
  995581   124722     3035    88.9%           24      19218
  997701   128565        0    88.6%           24      19219
  990052   128073        0    88.5%           24      19219
 1001236   128684       87    88.6%           24      19218
  990119   128297        0    88.5%           24      19220
  974978   125191        0    88.6%           24      19221
 1000543   128863        0    88.6%           24      19220
  982590   127573        0    88.5%           24      19222
  987184   128720       30    88.5%           24      19222
  982134   128992        0    88.4%           24      19222
  970248   127842        0    88.4%           24      19221
  964576   128080        0    88.3%           24      19223
  978351   128912        0    88.4%           24      19222
  960347   126860        0    88.3%           24      19222
  975622   128158        0    88.4%           24      19224
  979522   129044        0    88.4%           24      19224
  974923   128895        0    88.3%           24      19224
  976780   129057       33    88.3%           24      19225
  977780   128683        0    88.4%           24      19225
  977325   125419     3033    88.6%           24      19227
  960306   126968        0    88.3%           24      19226
  968331   128482        0    88.3%           24      19226
  966267   127913        0    88.3%           24      19227
  966806   128960        0    88.2%           24      19228
  957218   128005        0    88.2%           24      19230
  956860   127263        0    88.3%           24      19228
  966142   128713        0    88.2%           24      19232
  957803   127052       30    88.3%           24      19231
  954314   127317        0    88.2%           24      19231
  969782   128357        0    88.3%           24      19234
  945553   125881        0    88.3%           24      19231
  963101   128018        0    88.3%           24      19231
  955148   127620        0    88.2%           24      19233
  944765   126016        0    88.2%           24      19234
  948052   126279        0    88.2%           24      19235
  955966   128385        0    88.2%           24      19234
  955298   126567       33    88.3%           24      19235
  952345   127405        0    88.2%           24      19234
  960682   123606     3033    88.6%           24      19236
  953258   127186        0    88.2%           24      19237
  942116   125269        0    88.3%           24      19236
  938887   125411        0    88.2%           24      19238
  956368   127004        0    88.3%           24      19237
  960322   127218        0    88.3%           24      19238
  965553   127393        0    88.3%           24      19238
  956793   126434        3    88.3%           24      19239
  958229   126896       30    88.3%           24      19239
  970245   127427     1064    88.4%           24      19239
  965095   127812        0    88.3%           24      19240
  959151   127448        0    88.3%           24      19240
  946741   124620        0    88.4%           24      19239
  968464   128431        0    88.3%           24      19240
  967306   127128        0    88.4%           24      19240
