Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 1832419    47055    70060    97.5%           20      19151
 1858051    35333    70942    98.1%           20      19088
 1958731    30627    27992    98.5%           20      18776
 1970401    30372    30699    98.5%           20      18947
 1978018    27285    20568    98.6%           20      19090
 1988043    26850    22946    98.7%           20      19156
 1996541    26937    19793    98.7%           20      19203
 1966955    29837    19014    98.5%           20      19172
 2006664    30608    18351    98.5%           20      19190
 2032403    27627    26458    98.7%           20      19127
 2018015    29127    19995    98.6%           20      19165
 1911263    41502    28972    97.9%           20      19120
 2008353    39984    17488    98.0%           20      19203
 2009666    27846    19367    98.6%           20      19192
 1994007    27851    19541    98.6%           20      19180
 2015564    24724    25751    98.8%           20      19169
 2001584    26797    20815    98.7%           20      19157
 2045073    27094    21869    98.7%           20      19146
 2025294    27432    20912    98.7%           20      19136
 2019294    27059    20313    98.7%           20      19189
 2075644    26757    19875    98.7%           20      19181
 2097643    27372    21444    98.7%           20      19174
 2087956    27244    19608    98.7%           20      19168
 2052500    26494    21965    98.7%           20      19159
 2048550    27020    21173    98.7%           20      19150
 2021593    26202    21666    98.7%           20      19142
 2024709    26539    22005    98.7%           20      19134
 2020065    26768    21684    98.7%           20      19127
 2034922    25468    22620    98.8%           20      19120
 2003119    26942    22155    98.7%           20      19111
 1935114    26641    30019    98.6%           20      19059
 2028582    27438    21745    98.7%           20      19158
 1035959    78775    73104    92.9%           21      18764
 1166481    67852    81802    94.5%           21      18137
 1391148    58672    84564    96.0%           21      18552
 1526581    55414    76648    96.5%           21      19031
 1613509    52106    65935    96.9%           21      19076
 1687660    50170    65855    97.1%           21      19122
 1723003    48625    63655    97.3%           21      19140
 1726624    47277    66024    97.3%           21      19102
 1827771    33552    72339    98.2%           21      18574
 1832129    30789    51491    98.3%           21      18641
 1908517    31054    22909    98.4%           22      18905
 1879219    28845    21428    98.5%           22      18979
 1956792    28891    22739    98.5%           22      19153
 1952520    28819    24694    98.5%           22      19146
 1998673    32178    23361    98.4%           22      19205
 1956261    30001    21963    98.5%           22      19200
 1959418    29304    19775    98.5%           22      19175
 1981043    31296    20637    98.4%           22      19192
 1944011    28658    22573    98.5%           22      19183
 1963583    30003    21215    98.5%           22      19176
 1962125    29708    24520    98.5%           22      19164
 1948907    27766    30281    98.6%           22      19153
 2013596    30860    19207    98.5%           22      19205
 1962550    27435    22360    98.6%           22      19066
 1978593    27733    21071    98.6%           22      19188
 1965111    29245    20063    98.5%           22      19116
 1978069    33451    22725    98.3%           22      19162
 2002406    37935    24323    98.1%           22      19149
 1960045    27279    28936    98.6%           22      19190
 1997962    27160    20811    98.7%           22      19189
 1985350    26565    19895    98.7%           22      19180
 1988603    26696    19932    98.7%           22      19171
 1989196    25877    21224    98.7%           22      19165
 1996109    25872    24205    98.7%           22      19155
 2040243    27933    20196    98.6%           22      19143
 2043804    27669    20552    98.7%           22      19136
 2005461    28090    30526    98.6%           22      19099
 1978451    26590    19951    98.7%           22      19180
 2007191    26799    22350    98.7%           22      19172
 2003911    27681    23264    98.6%           22      19167
 1991350    27774    22361    98.6%           22      19158
 1991348    28354    22357    98.6%           22      19151
 1970174    28652    21179    98.6%           22      19145
 1978699    28985    22496    98.6%           22      19136
 1997033    29996    22741    98.5%           22      19128
 1951657    29954    20982    98.5%           22      19120
 1963087    30082    23248    98.5%           22      19112
 1946161    30158    20873    98.5%           22      19105
  904078    69209    80719    92.9%           22      18602
 1098762    58271    87508    95.0%           23      17943
 1356556    51938    86001    96.3%           23      18131
 1462795    43315    86758    97.1%           23      18535
 1625715    40298    86637    97.6%           23      18703
 1766848    35666    84198    98.0%           23      19112
 1764824    32488    78490    98.2%           23      19113
 1800148    30193    68041    98.4%           24      19121
 1888472    29350    25533    98.5%           24      19014
 1925120    29456    22742    98.5%           24      19139
 1896132    28978    36595    98.5%           24      19130
 1933492    28400    21425    98.6%           24      19185
 1962628    28318    24654    98.6%           24      19177
 1901159    28098    23630    98.5%           24      19059
 1960386    28873    23973    98.5%           24      19163
 1958156    29188    22490    98.5%           24      19152
 1913763    30435    24446    98.4%           24      19069
 1962985    32139    29657    98.4%           24      19162
 1964677    27826    22561    98.6%           24      18981
 1954240    27266    22223    98.6%           24      19177
 1987143    28220    23664    98.6%           24      19139
 1954705    32713    20973    98.4%           24      19069
 1986996    27441    25623    98.6%           24      19132
 1959316    43648    20285    97.8%           24      19179
 1965963    29228    21087    98.5%           24      19171
 2001336    32950    19961    98.4%           24      19161
 2001548    28784    21925    98.6%           24      19152
 2022555    29685    21879    98.6%           24      19143
 2012506    29553    24298    98.6%           24      19133
 1991069    28912    21022    98.6%           24      19124
 2009090    28115    30678    98.6%           24      19175
