Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    5352        0     3145   100.0%           16      18850
    1564        0        0   100.0%           16      18850
    1568        0        0   100.0%           16      18850
    1566        0        0   100.0%           16      18850
    1563        0        0   100.0%           16      18850
    1566        0        0   100.0%           16      18850
    1563        0        0   100.0%           16      18850
    1667        0        0   100.0%           16      18850
    2111        1       22   100.0%           16      18850
    5414        0     5383   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1550        1        0    99.9%           16      18859
    1535        0        0   100.0%           16      18859
    1553        0        0   100.0%           16      18859
    1551        0        0   100.0%           16      18859
    1568        0        0   100.0%           16      18859
    1584        0        0   100.0%           16      18859
    1548        0        0   100.0%           16      18859
    1567        0        6   100.0%           16      18859
    5591        0     3146   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1566        0        0   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1580        0        0   100.0%           16      18859
    1603        0        5   100.0%           16      18859
    5611        0     3145   100.0%           16      18859
    1599        0        0   100.0%           16      18859
    1578        0        0   100.0%           16      18859
    1553        0        0   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1566        0        0   100.0%           16      18859
    1562        0        0   100.0%           16      18859
    1599        0        0   100.0%           16      18859
    1601        0        0   100.0%           16      18859
    1569        0        5   100.0%           16      18859
    3592        0     5381   100.0%           16      18859
    1597        0        0   100.0%           16      18859
    1566        0        0   100.0%           16      18859
    1562        0        0   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1537        0        0   100.0%           16      18859
    1568        0        0   100.0%           16      18859
    1570        0        0   100.0%           16      18859
    1567        0        3   100.0%           16      18859
    5714        0     3034   100.0%           16      18859
    1466        0       88   100.0%           16      18859
    1544        0        0   100.0%           16      18859
    1552        0        0   100.0%           16      18859
    1555        0        0   100.0%           16      18859
    1550        0        0   100.0%           16      18859
    1534        0        0   100.0%           16      18859
    1562        0        0   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1570        0        4   100.0%           16      18859
    5653        0     3147   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1554        0        0   100.0%           16      18859
    1550        0        0   100.0%           16      18859
    1537        0        0   100.0%           16      18859
    1568        0        0   100.0%           16      18859
    1561        0        0   100.0%           16      18859
    1565        0        0   100.0%           16      18859
    1603        0        0   100.0%           16      18859
    1565        1        2    99.9%           16      18859
    5643        0     3148   100.0%           16      18859
    1550        0        0   100.0%           16      18859
    1537        0        0   100.0%           16      18859
    1552        0        0   100.0%           16      18859
    1570        0        0   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1565        0        0   100.0%           16      18859
    1567        0        4   100.0%           16      18859
    5649        0     3148   100.0%           16      18860
    1563        0        0   100.0%           16      18860
    1549        0        0   100.0%           16      18860
    1569        0        0   100.0%           16      18860
    1578        0        0   100.0%           16      18860
    1568        0        0   100.0%           16      18860
    1537        0        0   100.0%           16      18860
    1580        0        0   100.0%           16      18860
    1552        0        0   100.0%           16      18860
    1550        0        5   100.0%           16      18860
    5656        0     3148   100.0%           16      18860
    1599        0        0   100.0%           16      18860
    1565        0        0   100.0%           16      18860
    1550        0        0   100.0%           16      18860
    1578        0        0   100.0%           16      18860
    1537        0        0   100.0%           16      18860
    1598        0        0   100.0%           16      18860
    1580        0        0   100.0%           16      18860
    1541        0        5   100.0%           16      18860
    5658        0     3146   100.0%           16      18860
    1563        0        0   100.0%           16      18860
    1562        0        0   100.0%           16      18860
    1568        0        0   100.0%           16      18860
    1552        0        0   100.0%           16      18860
    1601        0        0   100.0%           16      18860
    1522        0        0   100.0%           16      18860
    1565        0        0   100.0%           16      18860
    1560        0        0   100.0%           16      18860
    1555        0        5   100.0%           16      18860
    3638        0     5383   100.0%           16      18860
    1566        0        0   100.0%           16      18860
    1570        0        0   100.0%           16      18860
    1550        0        0   100.0%           16      18860
    1552        0        0   100.0%           16      18860
    1539        0        0   100.0%           16      18860
    1563        0        0   100.0%           16      18860
    1539        0        0   100.0%           16      18860
    1566        0        5   100.0%           16      18860
    5674        0     3149   100.0%           16      18860
    1566        0        0   100.0%           16      18860
    1568        0        0   100.0%           16      18860
    1551        0        0   100.0%           16      18860
    1551        0        0   100.0%           16      18860
    1554        0        0   100.0%           16      18860
    1546        0        0   100.0%           16      18860
    1579        0        0   100.0%           16      18860
    1564        0        0   100.0%           16      18860
    1582        0        5   100.0%           16      18860
    5682        0     3150   100.0%           16      18860
    1549        0        0   100.0%           16      18860
    1565        0        0   100.0%           16      18860
    1564        0        0   100.0%           16      18860
    1537        0        0   100.0%           16      18860
    1600        0        0   100.0%           16      18860
    1536        0        0   100.0%           16      18860
    1567        0        0   100.0%           16      18860
    1568        0        5   100.0%           16      18860
    5801        0     3034   100.0%           16      18860
    1572        0        0   100.0%           16      18860
    1563        0        0   100.0%           16      18860
    1554        0        0   100.0%           16      18860
    1566        0        0   100.0%           16      18860
    1569        0        0   100.0%           16      18860
    1599        0        0   100.0%           16      18860
    1552        0        0   100.0%           16      18860
    1552        0        0   100.0%           16      18860
    1542        0        5   100.0%           16      18860
    5709        0     3148   100.0%           16      18860
    1578        0        0   100.0%           16      18860
    1548        0        0   100.0%           16      18860
    1576        0        0   100.0%           16      18860
    1567        0        0   100.0%           16      18860
    1550        0        0   100.0%           16      18860
    1568        0        0   100.0%           16      18860
    1601        0        0   100.0%           16      18860
    1564        0        0   100.0%           16      18860
    1553        1        2    99.9%           16      18860
    5755        0     3148   100.0%           16      18861
    1563        0        0   100.0%           16      18861
    1566        0        0   100.0%           16      18861
    1565        0        0   100.0%           16      18861
    1566        0        0   100.0%           16      18861
    1566        0        0   100.0%           16      18861
    1552        0        0   100.0%           16      18861
    1538        0        0   100.0%           16      18861
    1569        0        5   100.0%           16      18861
    5698        0     3147   100.0%           16      18861
    1549        0        0   100.0%           16      18861
    1599        0        0   100.0%           16      18861
