Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 2715234    17989   198374    99.3%           29      18287
 2883876    14192   203285    99.5%           29      18668
 3061127    13224    92882    99.6%           29      18212
 3233321    13026    45565    99.6%           29      18455
 3247039    13088    46503    99.6%           29      18498
 3316432    13389    50367    99.6%           29      18747
 3321147    13074    47743    99.6%           29      18730
 3274657    13097    46613    99.6%           29      18716
 3284586    13254    47942    99.6%           29      18772
 3248668    13172    47159    99.6%           29      18829
 3154740    10054    58487    99.7%           29      18661
 3297749    12585    50302    99.6%           29      18923
 3305329    12660    49908    99.6%           30      18979
 3299465    12759    48922    99.6%           30      18977
 3280398    12640    50967    99.6%           30      19238
 3256913    12330    45296    99.6%           30      19262
 3265202    12733    46293    99.6%           30      19248
 3253086    12984    44837    99.6%           30      19233
 3263670    12274    56336    99.6%           30      19148
 3267590    12342    45899    99.6%           30      19274
 3258930    12453    46193    99.6%           30      19262
 3302878    12522    43693    99.6%           30      19250
 3306169    12878    45758    99.6%           30      19239
 3331750    13048    44356    99.6%           30      19227
 3290448    12924    41072    99.6%           30      19213
 2513974    30789   117101    98.8%           30      18204
 1872700    42104   101660    97.8%           30      17341
 1948078    27563   172883    98.6%           30      17551
 2496495    22849   182056    99.1%           30      17974
 2708817    18764   198681    99.3%           31      18153
 2886720    14979   192787    99.5%           31      18261
 3159758    13531    82220    99.6%           31      18466
 3308685    13946    50679    99.6%           31      18720
 3264365    14065    44251    99.6%           31      18713
 3271864    13614    51083    99.6%           31      18723
 3300950    13781    48453    99.6%           31      18748
 3252987    13560    45952    99.6%           31      18777
 3250114    13838    47652    99.6%           31      19030
 3255655    12877    56738    99.6%           31      18732
 3357697    13670    48366    99.6%           31      18977
 3342437    13294    50503    99.6%           31      19228
 3311653    13012    45638    99.6%           31      19265
 3282911    13217    42727    99.6%           31      19252
 3281977    13286    44216    99.6%           31      19242
 3301878    13584    44961    99.6%           31      19231
 3266275    13236    42491    99.6%           31      19222
 3283833    13610    44112    99.6%           31      19209
 3208491    10874    57145    99.7%           31      18901
 3292984    13199    49006    99.6%           31      19160
 3249190    13500    44329    99.6%           31      19238
 3283012    13258    45144    99.6%           31      19229
 3195966    16794    50918    99.5%           32      19241
 1739921    46146   141917    97.4%           32      17231
 2121930    32587   175055    98.5%           32      17521
 2349270    22686   195128    99.0%           32      17704
 2720554    19094   186346    99.3%           32      17880
 2839903    13032   200716    99.5%           33      18051
 3099696    13591    94780    99.6%           33      18268
 3278601    14193    48909    99.6%           33      18528
 3268250    14237    44470    99.6%           33      18487
 3255319    13897    45555    99.6%           33      18530
 3232969    13793    47651    99.6%           33      18783
 3229622    13939    46423    99.6%           33      18776
 3252423    14133    45252    99.6%           33      18735
 3285547    14083    48451    99.6%           33      18791
 3160632    13088    55018    99.6%           33      18738
 3300821    13609    51675    99.6%           33      18997
 3330154    13527    46372    99.6%           33      18929
 3302111    13437    47889    99.6%           33      19183
 3274723    13522    45040    99.6%           33      19252
 3286748    13654    44292    99.6%           33      19241
 3225205    13332    42563    99.6%           33      19228
 3256649    13645    45196    99.6%           33      19216
 3241127    13103    52046    99.6%           33      19092
 3258446    13036    43518    99.6%           33      19261
 3316644    12815    46058    99.6%           33      19249
 3320618    13436    43935    99.6%           33      19236
 3267827    13224    40790    99.6%           33      19226
 3303540    13865    42440    99.6%           32      19213
 3287527    13723    42721    99.6%           32      19204
 1873667    61038   118125    96.8%           33      17207
 1853147    64491   157068    96.6%           33      17762
 2196490    50343   192588    97.8%           33      18245
 2465995    45460   178354    98.2%           33      18685
 2674749    42391   203093    98.4%           33      19107
 2876478    44576   139339    98.5%           34      19211
 3215983    45069    41010    98.6%           34      19289
 3224481    22940    41693    99.3%           34      19275
 3237408    14801    39083    99.5%           34      18414
 3269160    15189    46810    99.5%           34      18365
 3236621    14541    47758    99.6%           34      18616
 3194224    14456    47253    99.5%           34      18743
 3147816    29911    41122    99.1%           34      18713
 3131336    46608    54209    98.5%           34      18790
 3221833    47343    43393    98.6%           34      19159
 3214506    44875    37956    98.6%           34      19256
 3226348    41975    37868    98.7%           34      19243
 3237609    42521    36786    98.7%           34      19233
 3241103    42525    36525    98.7%           34      19223
 3198677    40457    36151    98.8%           34      19213
 1731691    87189    43505    95.2%            3      14298
  499242   161809    43862    75.5%            3       7923
 1090969   135775    43809    88.9%            3       3792
  742912   150184    52736    83.2%            4        578
  289459   176107    44110    62.2%            4       1486
 1004652   143326    42919    87.5%            4       2272
 1416439   132479    44100    91.4%            4       3013
 1548073   111596    41965    93.3%            5       3404
 1746338   117418    44433    93.7%            5       4084
 1859247   126368    47755    93.6%            5       4445
 1752116   104579    46013    94.4%            5       5074
 1974136    84649    44174    95.9%            5       5266
 2176352    74312    46708    96.7%            8       5760
 2192165    69959    41033    96.9%            8       6226
 2335000    68256    42160    97.2%            8       6681
 2257864    61658    39106    97.3%            8       7106
 2411873    58258    42937    97.6%            8       7530
 2490643    59559    41031    97.7%            8       7940
 2457089    52256    41289    97.9%            8       8334
 2549941    52754    42796    98.0%            8       8718
 2581094    50444    40120    98.1%            8       9098
 2614132    47128    45708    98.2%            8       9460
