reader	Vanilla	OSonly	CIP	CIPI	CII
1	344	693	1363	1407	1406
4	2767	3881	4749	4795	4361
8	5659	6509	7175	7412	7399
16	11480	12051	12587	12281	12715
32	26959	27291	28893	28816	29228
