AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,1385.2,1395.04,1414.0
2,1564.3,1661.56,1703.8
4,2814.5,2847.60,2867.5
8,5119.4,5183.08,5263.0
16,10089.5,10190.46,10300.5
