AppThreads,CBNBB-min,CBNBB-avg,CBNBB-max
1,1379.2,1388.66,1401.8
2,1547.8,1630.38,1700.1
4,2800.4,2834.22,2856.9
8,5131.6,5170.34,5220.4
16,10034.8,10129.00,10195.5
