AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,1345.8,1359.26,1372.9
2,1513.3,1570.36,1627.3
4,2729.4,2749.36,2771.3
8,4879.9,4969.68,5015.6
16,8735.9,9600.44,9926.2
