AppThreads,CBPBB-min,CBPBB-avg,CBPBB-max
1,1310.3,1330.4,1335.3
2,1580.4,1582.3,1586.3
4,2706.4,2722.44,2749.3
8,4843.7,4925.80,4970.8
16,9728.1,9787.56,9846.8
