AppThreads,OSONLY-min,OSONLY-avg,OSONLY-max
1,929.7,932.18,934.6
2,1319.9,1348.32,1400.5
4,2349.6,2383.86,2466.7
8,3888.5,3903.70,3913.2
16,6777.9,6800.02,6812.6
