AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,921.9,928.58,932.8
2,1338.6,1389.46,1429.1
4,2348.9,2378.78,2405.9
8,3885.6,3897.68,3922.2
16,6812.6,6821.94,6832.5
