AppThreads,OSONLY-min,OSONLY-avg,OSONLY-max
1,923.2,925.72,927.6
2,1326.5,1363.02,1412.8
4,2359.0,2379.70,2399.9
8,3871.1,3888.74,3907.4
16,6783.4,6806.32,6820.3
