AppThreads,CFNMB-min,CFNMB-avg,CFNMB-max
1,1315.7,1378.72,1466.3
2,1527.6,1575.90,1628.3
4,2722.6,2764.68,2793.1
8,5018.2,5045.02,5089.6
16,10136.0,10326.36,10468.1
