AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,923.9,931.60,936.8
2,1337.5,1409.94,1446.8
4,2383.4,2408.72,2473.6
8,3893.1,3921.26,3949.7
16,6829.7,6852.62,6877.4
