Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -452638        0   454278   100.0%           12       2959
 -183544        0   185158   100.0%           12       2307
    1641     1165        0    58.5%           12       2055
    1649    12614       32    11.6%           12        275
    1644    12113        0    12.0%           12        324
    1627    11117        0    12.8%           12        372
   10710     8679     3059    55.2%           12        422
    5161    16032        0    24.4%           12        481
  214178    28510        0    88.3%           12        573
  406357    20314        0    95.2%           12        626
   79284    20094        0    79.8%           12        677
   81039    20707        0    79.6%           12        728
   71108    26267       33    73.0%           12        787
   15227    75126        0    16.9%           12        921
   15053    72421        0    17.2%           12       1053
   15803    71603        0    18.1%           12       1184
   20819    71200     3029    22.6%           12       1316
   17477    72742        0    19.4%           12       1451
  561825    80191        0    87.5%           12       1632
 1279345   143209        0    89.9%           12       2308
  375069        0        0   100.0%           12       2308
    1663        2       33    99.9%           12       2308
  -28000        0    29640   100.0%           12       2422
 -226751        0   228394   100.0%           12       3342
 -220787        0   222428   100.0%           12       4245
 -283015        0   291835   100.0%           12       4356
 -298628        0   300259   100.0%           12       4077
 -404163        0   405774   100.0%           12       2308
 -322875        0   324552   100.0%           12       2308
 -337612        0   343365   100.0%           12       2324
 -286251        0   290516   100.0%           12       2335
 -365540        0   376610   100.0%           12       2339
 -325576        0   335084   100.0%           12       2372
 -297115        0   301557   100.0%           12       2384
 -266010        0   273743   100.0%           12       2320
 -266710        0   280653   100.0%           12       2348
   -7764        0    18334   100.0%           12       2344
    1693     8059        0    17.4%           12       2377
   26642    33767        0    44.1%           12       1295
   26179    29798        0    46.8%           12       1391
  102266    25446       34    80.1%           12       1478
  102907    25571        0    80.1%           12       1555
  309687    20641        0    93.8%           12       1607
   82534    19798        0    80.7%           12       1659
   85352    16378     3024    83.9%           12       1708
   32568    55705        0    36.9%           12       1811
   14162    69061        0    17.0%           12       1935
   13659    70623        0    16.2%           12       2062
   15356    71742        0    17.6%           12       2191
   14884    68541        6    17.8%           12       2317
   14829    69432       43    17.6%           12       2443
  714028   220141        0    76.4%           12       3046
 1459960    24373        0    98.4%           12       3260
   94440        0     3023   100.0%           12       3260
    1627        0        0   100.0%           12       3260
 -158785        0   160425   100.0%           12       3897
 -229024        0   230668   100.0%           12       4850
 -342235        0   343873   100.0%           12       5307
 -383584        0   385209   100.0%           12       5307
 -292822        0   294503   100.0%           12       5307
 -272366        0   273979   100.0%           12       2337
 -281485        0   283161   100.0%           12       2318
 -395782        0   404622   100.0%           12       2318
 -319229        0   320841   100.0%           12       2318
 -342633        0   344258   100.0%           12       2318
 -288973        0   290597   100.0%           12       2318
 -276168        0   277808   100.0%           12       2317
 -288900        0   290675   100.0%           12       2317
 -226467        0   228143   100.0%           12       2611
 -134192        0   135831   100.0%           12       3185
 -130008        0   131640   100.0%           12       3728
 -167872        0   169516   100.0%           12       4263
 -232289        0   241132   100.0%           12       3869
 -245769        0   247386   100.0%           12       3869
 -238073        0   239698   100.0%           12       3869
 -231116        0   232746   100.0%           12       3869
 -255815        0   260475   100.0%           13       3869
 -184902        0   186576   100.0%           13       2316
 -299468        0   303475   100.0%           13       2325
 -258495        0   262980   100.0%           13       2322
 -229246        0   242759   100.0%           13       2345
 -333516        0   390150   100.0%           13       2345
 -342716        0   373951   100.0%           13       2400
 -218455        0   248276   100.0%           13       2416
  -60647        0    77442   100.0%           13       2226
   12342     8114        0    60.3%           13       2253
   30380    24052        0    55.8%           13       1647
   79143    37387       32    67.9%           13       1748
  152888    23743        0    86.6%           13       1813
   74021    18182        0    80.3%           13       1861
   76807    19221     3019    80.0%           13       1908
   76287    19109        0    80.0%           13       1956
   74282    18142        0    80.4%           13       2004
   75508    17631        0    81.1%           13       2052
   25263    58242        0    30.3%           13       2139
   -2463    79776        0    -3.2%           13       2257
   -2755    80412       34    -3.5%           13       2377
   -4222    84422        0    -5.3%           13       2499
   -9803    87392        0   -12.6%           13       2618
   -7102    84470        0    -9.2%           13       2735
  154468    69467     4502    69.0%           13       2840
  627389   288650       87    68.5%           13       3607
 1353153        0        0   100.0%           13       3609
    1626        0        0   100.0%           13       3609
    1628        0        0   100.0%           13       3609
    1652        2       33    99.9%           13       3609
   34401     8337        0    80.5%           13       3629
   77685    18168        0    81.0%           13       3678
   77993    19857        0    79.7%           13       3728
   78719    18906     2442    80.6%           13       3776
   76998    19427       87    79.9%           13       3826
   78936    20121        0    79.7%           13       3876
   78530    18921        0    80.6%           13       3926
   79828    19329        0    80.5%           13       3977
   77715    18761       33    80.6%           13       4027
   77400    19481        0    79.9%           13       4076
   72207    24123        0    75.0%           13       4133
   16078    65637        0    19.7%           13       4258
   23837    63076     3019    27.4%           13       4385
   16467    68015        0    19.5%           13       4515
   15915    65393        0    19.6%           13       4639
   16450    65381        0    20.1%           13       4764
   22937    66249        0    25.7%           13       4888
 1168372   199976        5    85.4%           13       5656
  821108        1       29   100.0%           13       5657
    1624        0        0   100.0%           13       5657
    1625        0        0   100.0%           13       5657
   35404     3882     3019    90.1%           13       5672
   76145    18882        0    80.1%           13       5723
   74222    18977        0    79.6%           13       5770
   75266    19076        0    79.8%           13       5818
   75283    19685        0    79.3%           13       5867
   75153    19431        5    79.5%           13       5915
   79696    19129       29    80.6%           13       5966
   78117    18508        0    80.8%           13       6014
   77609    19528        0    79.9%           13       6064
   86705    16706     3019    83.8%           13       6115
   77402    18628        0    80.6%           13       6164
   19176    66503        0    22.4%           13       6286
   14443    66699        0    17.8%           13       6410
   14833    67610        0    18.0%           13       6536
   15583    67108        0    18.8%           13       6662
   15451    69509       33    18.2%           13       6793
   15588    68128        0    18.6%           13       6921
 1184018   204177        0    85.3%           13       7705
 1116766        0     3017   100.0%           13       7705
    1643        0        0   100.0%           13       7705
    1557        0       87   100.0%           13       7705
    9996     3729        0    72.8%           13       7714
   86562    18527        0    82.4%           13       7765
   78365    18145        0    81.2%           13       7815
   77229    19427       33    79.9%           13       7864
   78793    20105        0    79.7%           13       7914
   76499    19178        0    80.0%           13       7964
   87669    16351     3017    84.3%           13       8015
