RASIZE,nopred-min,nopred,nopred-max
32,5305.7,5335.67,5346.6
128,5331.8,5345.76,5358.3
256,5317.3,5354.23,5381.7
512,5351.5,5361.29,5381.3
2048,5357.4,5376.09,5393.5
4096,5322.1,5370.43,5387.9
8192,5371.6,5386.80,5397.9
16384,5370.1,5389.61,5410.1
32768,5371.3,5392.51,5417.5
65536,5383.3,5400.75,5426.3
131072,5387.3,5415.03,5455.6
268435455,5392.9,5421.59,5456.9
