MemBudget,CFPMB-min,CFPMB-avg,CFPMB-max
0.2,67.7,175.68,436.8
0.5,583.6,601.14,614.7
0.7,964.6,981.40,1003.7
1,4916.4,4922.62,4931.1
2,4851.2,4914.88,4935.1
