AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,174.0,174.18,174.4
2,414.1,418.86,424.3
4,981.5,985.10,991.1
8,2189.0,2195.40,2201.2
16,4626.0,4643.30,4667.5
