AppThreads,OSONLY-min,OSONLY-avg,OSONLY-max
1,920.4,923.36,925.9
2,1338.6,1354.86,1394.0
4,2354.5,2396.80,2452.7
8,3890.0,3897.32,3904.9
16,6779.0,6804.76,6818.0
