AppThreads,CFNMB-min,CFNMB-avg,CFNMB-max
1,1296.2,1395.88,1453.4
2,1601.4,1655.84,1731.1
4,2795.2,2906.76,2952.8
8,5197.1,5284.86,5324.2
16,10240.3,10351.68,10401.9
