AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,1444.9,1450.98,1457.4
2,1601.6,1659.82,1693.1
4,2884.5,2907.44,2926.5
8,5271.4,5280.58,5289.9
16,10290.8,10380.32,10469.5
