AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,1323.1,1334.68,1344.3
2,1545.1,1586.16,1620.6
4,2724.0,2759.70,2797.2
8,4945.4,4990.36,5023.4
16,9615.4,9786.84,9853.2
