AppThreads,CFNMB-min,CFNMB-avg,CFNMB-max
1,1295.8,1402.40,1479.6
2,1521.2,1618.30,1701.2
4,2721.2,2877.80,2963.3
8,5074.1,5220.26,5317.4
16,10286.7,10388.96,10429.5
