AppThreads,CBPBB_info-min,CBPBB_info-avg,CBPBB_info-max
1,1335.0,1408.60,1440.6
2,1603.6,1665.52,1734.6
4,3035.1,3195.66,3558.2
8,5968.9,6009.88,6039.0
16,10047.9,10094.68,10135.9
