AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,1355.5,814.12,1358.3
2,1521.6,1543.58,1616.9
4,2761.6,2781.66,2796.9
8,4977.7,5048.16,5102.3
16,9912.3,9939.06,9954.0
