AppThreads,CFPMB-min,CFPMB-avg,CFPMB-max
1,1108.9,1117.70,1127.4
2,1352.8,1398.66,1442.0
4,2470.8,2484.76,2493.0
8,4474.8,4564.74,4623.9
16,9003.6,9032.18,9063.0
