AppThreads,CBNMB-min,CBNMB-avg,CBNMB-max
1,1440.5,1455.58,1471.1
2,1607.6,1662.74,1748.3
4,2834.1,2899.06,2943.5
8,5192.8,5255.80,5312.5
16,10259.1,10341.60,10379.9
