reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1206	2082	2062	2066	2161
rrev	298	299	1652	1654	1694
rscan	4441	4627	4738	4787	4786
multirrand	11868	13351	13969	14028	14319
rrand					
