reader	Vanilla	OSonly	CIP	CIPI	CII
rseq	1207	2193	2091	2073	2118
rrev	298	295	1572	1558	1660
rscan	4453	4179	4080	4695	4743
multirrand	12366	13707	14083	13887	14140
rrand					
