AppThreads,CBPMB-min,CBPMB-avg,CBPMB-max
1,566.3,587.94,595.3
2,807.5,840.78,859.2
4,1426.5,1450.16,1457.4
8,2609.2,2617.94,2624.7
16,4910.0,4940.02,4971.5
