RASIZE,nopred-min,nopred,nopred-max
32,170.6,171.28,171.98
128,170.52,171.63,173.07
256,170.2,171.22,172.38
512,170.79,171.49,172.61
2048,170.86,171.93,173.17
4096,170.65,171.58,173.24
8192,170.41,171.33,172.61
16384,170.47,170.92,172.16
32768,170.42,171.13,172.21
65536,170.36,171.38,172.4
131072,170.48,171.29,172.57
268435455,170.19,171.05,172.27
