RASIZE,nopred-min,nopred,nopred-max
32,36.23,36.67,36.93
128,36.31,36.69,36.95
256,36.53,36.75,36.96
512,36.56,36.79,36.96
2048,36.57,36.79,37.04
4096,36.54,36.69,36.9
8192,36.64,36.79,36.9
16384,36.47,36.77,37.09
32768,36.59,36.81,37.11
65536,36.67,36.82,37.1
131072,36.68,36.81,37.02
268435455,36.38,36.77,37.08
