RASIZE,nopred-min,nopred,nopred-max
32,705.2,708.04,711.3
128,698.0,703.77,709.5
256,697.7,704.75,710.7
512,696.9,704.82,710.3
2048,696.9,705.06,710.5
4096,700.6,705.00,711.2
8192,689.8,702.69,710.2
16384,702.9,708.28,713.9
32768,699.4,705.63,710.7
65536,700.3,706.15,712.4
131072,696.7,706.11,714.3
268435455,688.9,705.00,712.9
