RASIZE,nopred-min,nopred,nopred-max
32,2188.1,2194.80,2198.5
128,2158.2,2189.13,2201.4
256,2184.3,2192.06,2200.4
512,2173.2,2190.78,2199.3
2048,2182.9,2194.37,2201.4
4096,2159.4,2192.10,2203.2
8192,2185.6,2193.34,2199.6
16384,2187.3,2195.38,2200.5
32768,2185.6,2195.51,2205.1
268435455,2161.7,2190.30,2201.0
