RASIZE,nopred-min,nopred,nopred-max
32,6802.8,6842.01,6882.0
128,6783.0,6841.88,6879.7
256,6799.5,6840.81,6878.1
512,6814.1,6856.03,6885.1
2048,6754.5,6830.61,6902.5
4096,6789.3,6845.38,6879.0
8192,6824.4,6857.99,6884.5
16384,6801.1,6845.63,6883.5
32768,6805.7,6846.05,6873.4
65536,6739.2,6829.00,6888.2
131072,6806.1,6846.33,6896.3
268435455,6788.7,6843.37,6900.7
